Code,type,Profession
0021,FR,travailleurs ayant fait au sujet de leur profession une déclaration imprécise ou insuffisante
0021,AR,اشخاص صرحوا بمهنة مبهمة او غير دقيقة
0031,FR,travailleurs n'ayant déclaré aucune profession
0031,AR,مشتغلون لم يصرحوا باية مهنة
0111,FR,"chef du gouvernement, ministres, secrétaires d'état, secrétaires généraux de ministères et assimilés"
0111,AR,رييس الحكومة والوزراء وكتاب الدولة والكتاب العامون للوزارات ومن يشابهونهم
0111,FR,"chef de gouvernement, ministres, secrétaires d'etat et secrétaires généraux de ministères"
0111,AR,الوزراء، كتاب الدولة والكتاب العامون للوزارات
0112,FR,"officiers de l'armée, de la gendarmerie, de la protection civile, des forces auxiliaires et de la sûreté nationale"
0112,AR,ضباط الجيش والدرك والوقاية المدنية والقوات المساعدة والامن الوطني
0112,AR,ضباط الجيش والدرك والوقاية المدنية والقوات المساعدة واالمن الوطني
0112,FR,"officiers de l'armée, de la gendarmerie, de la protection civile et des forces auxiliaires et de la sûreté nationale"
0113,AR,مديرو االدارة المركزية ومديرو وروساء الدواوين الوزارية ومن يشابهونهم
0113,FR,"directeurs de l'administration centrale, directeurs et chefs de cabinets ministériels et assimilés"
0113,AR,مديرو الادارة المركزية ومديرو وروساء الدواوين الوزارية ومن يشابهونهم
0114,AR,روساء الاقسام وروساء المصالح بالادارة العمومية المركزية ومن يشابهونهم
0114,FR,chefs de divisions et chefs de services de l'administration publique centrale et assimilés
0114,AR,روساء االقسام وروساء المصالح باالدارة العمومية المركزية ومن يشابهونهم
0119,AR,مسوولون تسلسليون اخرون في االدارة العمومية(المصالح المركزية للوزارات) غير مصنفين اعاله
0119,FR,autres responsables hiérarchiques de l'administration publique (services centraux des ministères) n.c.a.
0119,FR,autres responsables hiérarchiques de l'administration publique (services centraux des ministères) n.c.a
0119,AR,مسوولون تسلسليون اخرون في الادارة العمومية (المصالح المركزية للوزارات) غير مصنفين اعلاه
0121,AR,الوالة والعمال
0121,FR,walis et gouverneurs
0121,AR,الولاة والعمال
0122,AR,الكتاب العامون للعمالات والاقاليم ومن يشابهونهم
0122,FR,secrétaires généraux de provinces ou préfectures et assimilés
0122,AR,الكتاب العامون للعماالت واالقاليم ومن يشابهونهم
0123,AR,القواد الممتازون، الباشوات، القواد، خلفاء القواد ومن يشابهونهم
0123,FR,"super-caïds, pachas, caïds, kalifas de caïds et assimilés"
0123,FR,"super-caids, pachas, caids, kalifas de caids et assimilés"
0129,FR,autres responsables hiérarchiques de l'administration territoriale locale n.c.a
0129,AR,مسوولون تسلسليون اخرون بالادارة المحلية التراب الوطني غير مصنفين اعلاه
0129,FR,autres responsables hiérarchiques de l'administration territoriale locale n.c.a.
0129,AR,مسوولون تسلسليون اخرون باالدارة المحلية التراب الوطني غير مصنفين اعاله
0131,FR,directeurs et délégués des services extérieurs des ministères et assimilés
0131,AR,المديرون، المندوبون بالمصالح الخارجية للوزارات ومن يشابهونهم
0132,AR,روساء اقسام وروساء مصالح بالمندوبيات او المديريات الجهوية او االقليمية للوزارات ومن يشابهونهم
0132,FR,"chefs de départements, chefs de divisions et chefs de services au sein des délégations ou directions régionales ou provinciales des ministères et assimilés"
0132,AR,روساء اقسام وروساء مصالح بالمندوبيات او المديريات الجهوية او الاقليمية للوزارات ومن يشابهونهم
0139,AR,مسوولون تسلسليون اخرون بالمصالح الخارجية للوزارات غير مصنفين اعلاه
0139,FR,autres responsables hiérarchiques des services extérieurs des ministères n.c.a
0139,AR,مسوولون تسلسليون اخرون بالمصالح الخارجية للوزارات غير مصنفين اعاله
0139,FR,autres responsables hiérarchiques des services extérieurs des ministères n.c.a.
0141,FR,"députés, parlementaires et conseillers municipaux et communaux"
0141,AR,نواب برلمانيون، مستشارو المجالس البلدية والجماعات القروية
0141,FR,députés parlementaires et conseillers municipaux et communaux
0142,AR,منتخبو الغرف المهنية
0142,FR,élus des chambres professionnelles
0142,FR,elus des chambres professionnelles
0143,AR,منتخبون اخرون
0143,FR,autres élus
0144,AR,مسيرو واطر االحزاب السياسية
0144,AR,مسيرو واطر الاحزاب السياسية
0144,FR,dirigeants et cadres des partis politiques
0145,AR,مسيرو اطر المنظمات والجمعيا ت ذات هدف اقتصادي
0145,AR,مسيرو اطر المنظمات والجمعيات ذات هدف اقتصادي
0145,FR,dirigeants et cadres d'organisations à but lucratif
0146,AR,مسيرو واطر الجمعيات الرياضية والثقافية والاجتماعية التي لا تهدف الي الربح
0146,FR,"dirigeants et cadres d'organisations sans but lucratif à caractère sportif, culturel ou social"
0146,AR,مسيرو واطر الجمعيات الرياضية والثقافية واالجتماعية التي ال تهدف الي ربح
0146,FR,"dirigeants et cadres d'organisations sans but lucratif à caractères sportif, culturel et social"
0149,AR,اعضاء الهييات المنتخبة ومسيرو واطر المنظمات اخرون غير مصنفين اعلاه
0149,AR,اعضاء الهييات المنتخبة ومسير و واطر المنظمات اخرون غير مصنفين اعاله
0149,FR,autres membres des corps élus et dirigeants et cadres d'organisations n.c.a
0149,FR,autres membres des corps élus et dirigeants et cadres d'organisations n.c.a.
0151,AR,السفراء
0151,FR,ambassadeurs
0152,FR,consuls généraux et consuls
0152,AR,القناصلة العامون والقناصلة
0153,AR,ملحق ثقافي
0153,FR,attaché culturel
0154,AR,ملحق تجاري
0154,FR,attaché commercial
0155,FR,attaché médiatique
0155,AR,ملحق اعالمي
0155,AR,ملحق اعلامي
0159,FR,autres membres du corps diplomatique n.c.a.
0159,AR,اعضاء اخرون بالهيية الدبلوماسية غير مصنفين اعلاه
0159,FR,autres membres du corps diplomatique n.c.a
0159,AR,اعضاء اخرون بالهيية الدبلوماسية غير مصنفين اعاله
0161,FR,directeurs et directeurs adjoints des organismes publics sans but lucratif et des établissements publics à caractère marchand
0161,AR,المديرون والمديرون المساعدون للموسسات العمومية التي لا تهدف الي الربح وبالفروع التجارية للادارة العمومية
0161,AR,المديرون والمديرون المساعدون للموسسات العمومية التي ال تهدف الي ربح وبالفروع التجارية لالدارة العمومية
0161,FR,"directeurs, directeurs adjoints des organismes publics sans but lucratif et des établissements publics à caractère marchand"
0162,AR,روساء االقسام والفروع والمصالح بالفروع التجارية لالدارة ومن يشابهونهم
0162,AR,روساء الاقسام والفروع والمصالح بالفروع التجارية للادارة ومن يشابهونهم
0162,FR,"chefs de départements, chefs de divisions et chefs de services des établissements publics à caractère marchand, et assimilés"
0169,FR,autres responsables hiérarchiques des organismes publics sans but lucratif et des établissements publics à caractère marchand n.c.a
0169,AR,مسوولون تسلسليون اخرون بالموسسات العمومية التي ال تهدف الي ربح وبالفروع التجارية لالدارة العمومية غير مصنف ي ن اعاله
0169,FR,autres responsables hiérarchiques des organismes publics sans but lucratif et des établissements publics à caractère marchand n.c.a.
0169,AR,مسوولون تسلسليون اخرون بالموسسات العمومية التي لا تهدف الي الربح وبالفروع التجارية للادارة العمومية غير مصنفين اعلاه
0211,AR,عمداء الجامعات وقيدومو الكليات، المديرون والمديرون المساعدون لموسسات تكوين الاطر العليا
0211,FR,"doyens, recteurs d'universités, directeurs et sous directeurs ou directeurs adjoints des écoles de formation des cadres"
0211,AR,عمداء الجامعات وقيدومو الكليات، المديرون والمديرون المساعدون لموسسات تكوين االطر العليا
0212,FR,chefs de départements et assimilés
0212,AR,روساء الشعب ومن يشابهونهم
0213,FR,secrétaires généraux et surveillants généraux des établissements d'enseignement supérieur et assimilés
0213,AR,الكتاب العامون والحراس العامون لموسسات التعليم العالي ومن يشابهونهم
0219,FR,autres responsables des établissements de l'enseignement supérieur n.c.a.
0219,AR,مسوولو موسسات التعليم العالي اخرون غير مصنفين اعلاه
0219,FR,autres responsables des établissements de l'enseignement supérieur n.c.a
0219,AR,مسوولو موسسات التعليم العالي اخرون غير مصنفين اعاله
0221,AR,مديرو الثانويات ومن يشابهونهم
0221,FR,"proviseurs, directeurs de lycées et assimilés"
0221,FR,directeurs de lycées et assimilés
0222,FR,"censeurs, surveillants généraux de lycées et assimilés"
0222,AR,النظار والحراس العامون للثانويات ومن يشابهونهم
0222,FR,"proviseurs, surveillants généraux de lycées et assimilés"
0229,AR,مسوولون تسلسليون اخرون بموسسات التعليم الثانوي التاهيلي غير مصنفين اعلاه
0229,FR,autres responsables hiérarchiques de l'enseignement secondaire qualifiant n.c.a.
0229,AR,مسوولون تسلسليون اخرون بموسسات التعليم الثانوي التاهيلي غير مصنفين اعاله
0229,FR,autres responsables hiérarchiques de l'enseignement secondaire qualifiant n.c.a
0231,AR,مديرو االعداديات
0231,FR,directeurs de collèges
0231,AR,مديرو الاعداديات
0232,FR,surveillants généraux de collèges et assimilés
0232,AR,الحراس العامون بالاعداديات ومن يشابهونهم
0232,AR,الحراس العامون باالعداديات ومن يشابهونهم
0233,AR,مديرو مدارس التعليم االبتدايي
0233,FR,directeurs d'écoles primaires
0233,AR,مديرو مدارس التعليم الابتدايي
0234,AR,مديرو مدارس التعليم التمهيدي
0234,FR,directeurs d'écoles d'enseignement préscolaire
0239,FR,"autres responsables hiérarchiques des établissements de l'enseignement secondaire collégial, primaire et du préscolaire n.c.a."
0239,FR,"autres responsables hiérarchiques des établissements de l'enseignement secondaire collégial, primaire et du préscolaire n.c.a"
0239,AR,مسوولون تسلسليون اخرون بموسسات التعليم بموسسات التعليم الثانوي االعدادي و االبتدايي و التمهيدي غير مصنفين اعاله
0239,AR,مسوولون تسلسليون اخرون بموسسات التعليم بموسسات التعليم الثانوي الاعدادي والابتدايي والتمهيدي غير مصنفين اعلاه
0241,FR,directeurs des établissements de formation professionnelle
0241,AR,مديرو موسسات التكوين المهني
0249,FR,autres responsables hiérarchiques des établissements de formation professionnelle n.c.a
0249,AR,مسوولون تسلسليون اخرون بموسسات التكوين المهني غير مصنفين اعاله
0249,AR,مسوولون تسلسليون اخرون بموسسات التكوين المهني غير مصنفين اعلاه
0249,FR,autres responsables hiérarchiques des établissements de formation professionnelle n.c.a.
0251,FR,directeurs des centres de formation de langues
0251,AR,مديرو مراكز التكوين في اللغات
0252,FR,directeurs des centres de soutien scolaire
0252,AR,مديرو مراكز الدعم المدرسي
0259,FR,autres responsables hiérarchiques des établissements d'enseignement n.c.a.
0259,FR,autres responsables hiérarchiques des établissements d'enseignement n.c.a
0259,AR,مسوولون تسلسليون اخرون بموسسات التعليم غير مصنفين اعاله
0259,AR,مسوولون تسلسليون اخرون بموسسات التعليم غير مصنفين اعلاه
0261,FR,"médecins-chefs, directeurs d'hôpitaux, de cliniques, de centres de santé et assimilés"
0261,AR,االطباء الروساء، مديرو المستشفيات والمصحات والمراكز الصحية ومن يشابهونهم
0261,AR,الاطباء الروساء، مديرو المستشفيات والمصحات والمراكز الصحية ومن يشابهونهم
0262,FR,"chefs de services de soins médicaux et paramédicaux et responsables de programmes médicaux dans les hôpitaux, de cliniques, de centres de santé"
0262,FR,"chefs de services de soins médicaux et paramédicaux et responsables de programmes médicaux dans les hôpitaux, de cliniques, de centres de santé."
0262,AR,روساء المصالح الطبية والشبه طبية والمسوولون عن البرامج الطبية بالمستشفيات والمصحات والمراكز الصحية
0269,FR,"autres cadres dirigeants d'hôpitaux, de cliniques, de centres de santé et assimilés n.c.a."
0269,FR,"autres cadres dirigeants d'hôpitaux, de cliniques, de centres de santé et assimilés n.c.a"
0269,AR,اطر اخري مسيرة بالمستشفيات والمصحات والمراكز الصحية ومن يشابهونهم غير مصنفين اعاله
0269,AR,اطر اخري مسيرة بالمستشفيات والمصحات والمراكز الصحية ومن يشابهونهم غير مصنفين اعلاه
0271,AR,مديرو خدمات رعاية الاطفال
0271,FR,directeurs des services de soins aux enfants
0271,AR,مديرو خدمات رعاية االطفال
0272,AR,مديرو خدمات رعاية المسنين
0272,FR,directeurs des services de soins aux personnes âgées
0273,AR,"مديرو الرفاه واالنعاش االجتماعي(االحداث ,ذوي االحتياجات الخاصة)..."
0273,AR,"مديرو الرفاه والانعاش الاجتماعي (الاحداث, ذوي الاحتياجات الخاصة...)"
0273,FR,"directeurs de l'aide sociale et du redressement social (mineurs arrêtés, handicapés..)"
